text,label
Я удалил канал и хотел сделать другой но у меня пишет человек с таким номером телефона уже есть попробуйте ещё и у меня идеальный интернет но пишет плохое соеднение исправьте пожалуйста прошу,1
Доступность,0
"Рутуб реально расцвел и похорошел👍 Единственное, добавьте пожалуйста вход через социальные сети: гугл, вк, ок например, а не только по телефону и почте",2
"Классные видео. Смешные, интересные и увлекательные. Всё прикольно.",3
Все!!!,0
в начале видео идет повтор дважды,1
Пока не вижу не удобств в поиске любого контента...,2
"Спасибо, что прислушиваетесь к отзывам и совершенствуете приложение, это очень приятно и классно⭐!",3
Не загружает выпуски,1
🤩🤩🤩,0
Где в приложении нужно вводить код из смарт ТВ?? Не могу уже три часа найти.. Телевизор Самсунг.,1
Слишком долго ,1
"Отличное приложение,все функционально и понятно 👍🏻",3
Логистику сайта ,2
"ОТЛИЧНОЕ ПРИЛОЖЕНИЕ,МОЖНО ПОСМОТРЕТЬ КУЧУ СЕРИАЛОВ И НЕ ПРИДЕТСЯ ЗАМОРАЧИВАТЬСЯ С ПОИСКОМ!!!!!!!!!!!!!!!!!!",3
"Фейки начинаются уже с рекламы, где мне обещают ""то, что я ищу"". А я что, когда-то искал имбецилов и деградантов?",1
Нормально,2
"Приложение нормальное,пока,но почему-то когда веду поиск видео,находится совсем нето видео которое ввожу в поиск,пишу одно а выходит другое,нужно как-то исправить,остальное буду тестировать.",1
"Приложение все лучше и лучше! Просьба добавить в версию под Android TV, скорость видео 1.25, а то для многих видео коэффициент 1.5 слишком много.",2
"Уважаемые разработчики,добавьте пожалуйста режим воспроизведения в свёрнутом виде(без картинки в картинке).Чтобы видео сворачивалось, но был звук.Тогда сразу куплю подписку.upd: разработчик ответил,все работает,я как и обещал оформляю подписку).Поставил 5,конечно мелкие проблемы есть,но саппорт работает активно,платформа развивается,так держать!",1
❤️,3
"Ребята, разработчики, стало гораздо лучше, вроде бы неделю наверное не зависает, есть ещё один косяк: Когда нажал воспроизведение видео, потом на паузу, видео на паузе, а экран не гаснет, не логично, стоит на паузе и горит, я пришёл через час к телефону, а он на паузе горит и тратит батарею.",2
"удобно, ",3
реклама не орет ,3
"улучшить список для просмотра, чтобы было удобно добавлять, менять местами и автоматически переключалось",1
Удобное для РФ юзеров,3
"сделайте чат в стримах, люди хотят общаться!",1
Почему видео прерывается и пишет ошибка во время просмотра с заблокированным экраном?,1
Эта поделка просто ужасная сделана RUкожопами типа тяп ляп и так сойдёт.,1
все,0
"1) Ужасный поиск. Запросная строка не подсказывает. Результаты поиска - просто куча мусора.
2) Постоянно пропадает соединение и видео приходится перезапускать.",1
Плеер,0
быстрота и простота,3
Все ,0
нечего ,2
"Я начинаю ненавидеть вас так же, как всех этих мразот-спамеров. Вы с ними заодно? Вот сейчас в чате  спамит NOW, пишет конституцию России 60 сообщений в секунду! Может поднимите свои жирные жопеньки и начнете наконец работать!",1
Телеканалы,0
"Здравствуйте ребятушки, всё супер клёвое 👍👍👍 вот есть ещё одна проблема, в фоновом режиме если немножко слабеет сигнал, то приложение не долго находится в поиске сети, почти сразу пишет что сеть потеряна, попробуйте ещё раз, это очень не удобно, каждый раз достаёшь телефон из кармана и запускаешь заново, очень не удобно)",2
Приложения мне нравится. Быстро прошла регистрацию. Смотрю разные видео ролики и различные телепередачи.,3
Всё,0
"Здравствуйте,то и дело приложение само выходит из моего аккаунта. Исправьте. Сделайте так,чтобы можно было бы зайти и оно само не вхыодило. Заранее спасибо",1
Замечательное приложение. Множество отечественных шоу,3
оформление,0
ничего никогда с первого раза не нахожу,1
Быстро и удобно !,3
Всё хорошо.,3
Сделай уже шорты как в ютубе,1
Странные рекомендации,1
"Жалею о том,что была не знакома раньше с данным приложением. Множество фильмов, сериалов,есть интересные ролики, много ТВ каналов. Загрузка видео быстрая...просто супер! Однозначно рекомендую тем, кто еще не пользуется данным приложением.",3
"Получил ответ от разработчиков, вызвал только смех: проверьте подключение к тв, проверьте эплтв, хромкаст. Какой какой каст?)) У меня обычный Смарт ТВ, на ютуб тупо нажал кнопку отправить на тв и смотрю видео без проблем. Я даже к учётке привязал телевизор. Мне предлагает только по эйрплей соединится. Бредятина. Можете посмотреть настройки приложения ютуба и тупо скопировать сюда?",1
Спасибо ,3
свобода слова привет ),0
"Уважаемые разработчики Rutube. Ваше приложение хорошее, развивается. Но есть недостаток постоянно вылетает из аккаунта. Вроде бы нечего не делаешь. Заходишь и нужно снова и снова входить в акаунт. В YouTube такого нет! Так что вам есть над чем работать. Надеюсь вы исправите этот недостаток. А так приложение как замена YouTube, хорошее.",1
хз,2
Здравствуйте 3 звёзды потому что я не могу удалить видео с телефона добавьте пожалуйста кнопку удалить,1
ВСЁ,0
Заблокированные Ютубом здесь.,3
"долго
",1
Супер,3
"Непонятный процесс регистрации, нет подтверждения, или поздравления с успешным завершением процесса. ",1
Нужно закрыть проект ,1
"Это какое-то издевательство! То разлогинивается, то пишет чтоб перезапустили приложение и попробовали позже.... Даже с учётом того, что хочется поддерживать отечественного производителя, возникает неприодолимое желание снести это корявое приложение нафиг! Складывается впечатление, что разработчики всеми силами стараются показать пользователю, что Ютуб лучше!!! Разработчики, вы что вообще думаете!? Крайне разочарован!",1
Все удобно ,3
скорость регистрации,2
"Ничего хорошего не нашел что было на НТВ  прсмотренрено. ощущение что здесь  скилет в шкафу или ящик пандоры
",1
Не могу скачать,1
интерфейс. неудобно выберать рольки,1
Это приложение очень крутое оно подойдёт всем,3
все,0
Оперативность ,0
Ок спасибо ,2
Не могу ввести пароль в подключенных устройствах,1
здравствуйте!  Я первый раз.Напишу позже комментарии,2
все,0
"устраивает
",2
Не грузит!,1
ввести редактирование текста автором текста.,1
"топ, хоть что-то новое появилось. но надеюсь что скоро будет лучше.",3
"Самое худшее приложение, если смотреть видео то поставит идёт загрузка секунда прошла от видео и опять загрузка.Смотреть не возможно,Ютуб в миллиард раз лучше чем это д*рьмо",1
Класс,3
"Комментарии мелкие, не читабильно, не вижу что пишу. И писать и читать нет желания. Исправьте .",1
"не нашел 20, 21 серии 1 сезона склифосовского.",1
"Приложение довели до ума почти весь функционал ютуба, отдельно спасибо за воспроизведение в фоне, продолжайте совершенствовать продукт, молодцы!!!",3
Good,0
"Есть плюсы и минусы. Плюсов, к сожалению, меньше. На втором телевизоре постоянно вылетает из ЛК. Авторизация при этом неадекватна. Сканировать qr код, но через приложение автортзвать его нельзя. Зачем тогда его делали ? з. ы если установлено приложение, браузер не откроешь. Приложение по дефолту будет открываться в браузера при любых упоминаниях. Что бы авторизоваться приходиться удалить приложение открыть в веб. Да решение-костыль есть, но хотелось бы функцию видеть в приложении.",1
"мусор, все проблемы уже описаны в других отзывах.",1
"Удобное приложение, мне оно понравилось!!!",3
"Видео много берет трафика, поэтому и тормозит.",1
Быстро,3
Все нравиться. ,3
всё,0
"Нашел все, что искал.",3
"я хотела смотреть фильм,а он мне показывает отрывки ",1
Что бы не выносило с канала,1
"Всё работает. Тяжело, в возрасте осваивать новые технологии.",2
Хорошие программы ,3
постоянно вылетает из акаунта,1
Всё хорошо ,3
"1.нет возможности передать видео со смартфона на тв по вайфай .2. нет возможности установить приложение на многие модели тв.и надо покупать приблуду chromecast что бы это все работало.отписал в поддержку на мейл,ответили что не могут сделать ,хотя приложение окко(сбер) работает.плохо работаете разработчики!ребята вы должны делать контент с доступом на любом электронном устройстве - это база а пока 2 звезды от меня как пользователя и то 2 звезды за то что в фоновом режиме работает приложение",1
Качество,0
"Рутуб скачан уже более года , каждый раз даю шанс ему, что-то посмотреть. Сегодня снова пробую посмотреть выпуск шоу, но как и прежде не удается. 
Грузит, грузит, пишет ошибку, что видео временно недоступно. Каналы не открывает. А с браузера открыло сразу и всё работает.",1
показывать канал ,2
Приложение хорошее но когда запускаешь видео загружать видео 4 и большеочень сильно тупит можете пожалуйста исправить,1
Ну такое себе,1
"Не могу залогиниться ч/з Браузер Chrome на Android смартфоне Xiaomi. Браузер последний, пробовал моб. и полн.версии. Захожу ч/з почту. Ввожу адрес почты. При нажатии кнопки «Продолжить» в ней крутится анимация, а потом появляется сообщение «Invalid captcha» красного цвета. При этом нигде нет никаких полей для проверки. Очень нужно войти.. 😬",1
Все участники они самые лудшии,0
"На YouTube iXBT апеллировали страйки. А вы повели повели себя как инноагенты, их ролики забанили. Т.е. вы не для импортозамещения? Зря в вас поверил. Думал вы будете полноценной заменой на случай полной блокировки, как например ПС Мир- они смогли. А рутуб тогда зачем нужен? Удаляю рутуб. Попробую теперь вк видео, но уже без особых надежд.",1
"то что всё нашлось, я не ожидал.",3
тдгпэж7амодг5,0
Дохрена рекламы,1
Здравствуйте,0
"Не пользовался долгое время RUTUBE, а сейчас очень поднадоел ""янкитуб"", заглянул обратно на RUTUBE, попробовал и пока только радует: и быстротой работы, и оформлением, и удобством!!!",3
"Требуют справку, чтобы разблокировать видео",1
"Каждый день нужно делать активацию... 
",1
СКУКА,1
"неограниченное количество и продолжительность видео, которые можно загружать на платформу",2
"В приложении на андроид невозможно очистить историю просмотра или выборочно удалить из неё ролик. Опция нужная, просьба добавить в приложение.",1
Глючит,1
подборки по интересам,2
"Для такого начала очень хорошо, советую только улучшить штуку, когда создаешь описание, чтоб оно не пропадало, а так же сделать алгоритмы и рекомендации на свой вкус, и будет норм",2
Можно больше разрешить комментариев и смайлики под ними Как на Ютубе (там удобное в 50% именно общение ),2
"Логает ,не ищет то что нужно",1
"Хорош, почти как ютуб",3
регистрацию,0
Помоище,1
"Все можно улучшить. А для начала, чтобы видео больше 10гб поддерживало",1
Реклама запмучала,1
Где ixbt games?,2
Каждые 10-15 минут видео зависает и требуется перегрузить видео,1
"Ужасное приложение, постоянно не грузит видео, невозможно смотреть 👎🏻👎🏻 с интернетом всё хорошо!",1
Быстро ,3
рекомендации,0
"Хорошо, быстро, удобно",3
"Приложение хорошее, но поле последнего обновления изображение зависает, а звук продолжается. :(",2
"Ужасно. Разработчики не задавайте тупые вопросы! Вы знаете все недостатки!!!! И такое впечатление что 80% отзывов пишут разработчики! Потому как практически нет объективных отзывов!!!!!!!! Пишут про какую-то синхронизацию, вылетания,и всякую чушь!!!! Где отзывы про главные недостатки?! Ответить нет возможности !!! Дизлайк нет возможности !!! Пожаловаться нет возможности !!! Заблокировать нет возможности !!! Не рекомендовать нет возможности !!!!",1
"Ведущие,испытания,игроки",0
"Для подключения приложения на ТВ зачем входить через сайт? Добавьте возможность подключения на тв по qr коду, отсканировал в приложении на телефоне или планшете. Добавьте скорость воспроизведения 1.1, на тв вообще 1.5 сразу - не удобно же",1
Хорошо,3
Ок,2
"Не даёт смотреть передачу, если отказаться от обновления. Т.е. удаляйте всё, но обновление скачайте. Стоит ли того контент? Обновляю, посмотрю, Вы решайте сами. Надеюсь, хоть тонны рекламы не будет. Настроение, конечно, подпорчено.",1
"Пусть эти единици вернутся Вам.Работайте над собой, чтобы выйти в финал, а не снижайте чужие баллы. Это низко, как сказал Олег. ",0
Как послать калекцию ,2
"Постоянно забывает пароль от учетки. Введите, чтобы войти. Да введено там все было... Очень мелкий шрифт в комментариях, видео не скачать, в офлайне не посмотреть",1
"Не знаю как ещё сообщить разработчикам. Очень не удобный интерфейс коментариев. Нет возможности редактирования. Добавили фоновый режим, грац разработчикам.",1
"Ок Еще с одной ошибкой столкнулся: Я не хотел писать прошлый отзыв сюда и пытался написать отклик на прямую из приложения. При нажатии ""Оставить отзыв"" открывается приложение почты с нажатой ""написать"" и курсором ввода в (!) Пустом поле ""Кому"". Пользователь должен, предварительно, загуглить почту для фидбека и зачем то запускать приложение почты через ваше приложение?",1
пока пытаюсь понять...,2
"Сейчас прекрасная возможность стать видеоплощадкой №1 в России, но вы даже не вторые… Хотя к вам уже пришли Пучков, Васильев и Лебедев и т.д., - блогеры-миллионики. Вы не используете все возможности для продвижения хостинга. 1. Нормальных алгоритмов нет от слова «совсем». 2. Нет возможности смотреть видео без рекламы. 3. Блогерам платятся копейки 4. Периодические баги при просмотре видео. 5. Нельзя оценивать или отвечать на комментарии. 6. Shorts-формата нет. 7. Каждый раз, когда я открываю приложение, то у меня ощущение, что я попал на тв. Я конечно понимаю, что много лет назад вы сделали на это ставку, но вы и не старались создавать необходимые условия для привлечения блогеров. Самое обидное, что есть все условия для улучшения работы сервиса, но вам как будто бы самим все нравится. UPD. У приложения, оказывается, память как у рыбки, - постоянно забывает тебя и просит перелогиниваться чуть ли ни каждый день ?‍♂️?‍♂️?‍♂️",1
"28.09.2023 воспроизведение в фоновом режиме стало сильно глючить и постоянно терять связь, кнопка ""попробовать снова"" уже надоела, да и вообще раздражает эта ситуация, если теряется связь, часто теряется место в видео и приходится перематывать обратно перехожу в ВК видео и всем советую, пока не поправят на столько банальные детские болезни.",1
"Сделать доступными просмотр Российских фильмов и сериалов, за частую отсутствуют или не в полном объеме ",1
Не нашла то что хотела 🤷‍♀️,1
"Приложение, как и онлайн сайт, сделаны долбящимися в задний проход макаками))",1
Классно очень понятно все,3
Как голосовать не получается ,2
"Низкий рейтинг из-за прошлых версий, сейчас Рутюб не уступает Ютюбу.",1
Всё больше народу пребывает на Рутуб.,3
"Платформа дно,Ютуб лидирующие приложение, в Ютубе можно стать блогером легко,в Рутьюбе обычный пацан им не станет, в Рутьюбе те кто с галочкой тех и смотрят,если выложить обычное видео,то оно наберет 2 просмотра, и в Рутьюбе одни каналы ТВ,пропаганда и политика.",1
Очень вкусно  и красиво ,0
Наруженый колхозный интерфейс,1
"Ведь можно же проанализировать и перенять положительные аспекты платформ конкурентов и сделать свою примером для подражания, предельно простую и функциональную без всякой ненужной мишуры ?! Надеюсь у наших разработчиков руки растут из нужного места … Спасибо за обратную связь !!!",1
"Бесполезное приложение, фильмы и сериалы российские даже нельзя посмотреть бесплатно, ужасно просто, только ненужные телепроекты показывают",1
"Простота использования, отсутствие рекламы, хорошее качество видео ",3
Very good!,0
халява,0
"Ворованное название,также сплагиатченный интерфеис. Творческая импотенция на лицо. Не в состоянии создать что то свое. Оригинал всегда предпочтительнее дешевой копии.",1
"Удобно, работает без проблем, качество воспроизведения превосходное, а также функция поверх экрана",3
отличная банда.,3
Отлично,3
"качество трансляции, скорость воспроизведения",2
Одна реклама. Невозможно смотреть.,1
Ерунда,1
"Как было донное дно так и осталось. Назовите себя Рекламатюб, у вас так и есть -рерлама на рекламе и рекламой погоняет. Непозможно смотреть ничего из-за рекламы...",1
все,0
"Разработчики, почему в приложении комментарии под видео не отображаются полностью? нельзя написать ответ комментатору, и/или прочитать ответы на конкретный комментарий! Хотя на сайте комментарии работают в привычном виде, и можно давать ответ конкретному комментатору... спасибо за ответ, отношусь с пониманием, на всë рук не хватает, всë как у всех, буду ждать результата, и оценку изменю, в целом, приложение удобное",1
Что за баги в приложении постоянно вылетает с аккаунта смарт ТВ причем у меня на обоих телевизорах слетает постоянно то на одном то на другом в чем сложность сделать синхронизацию как Ютюб что бы не нужно было постоянно заходить через эти куаркоды,1
"Так и неисправили приложение, очень жаль. Надеялся что смогу перенести видео с Ютуба, но после глюков в приложении оставил все видео на Ютубе. А приложение Рутубе удалил.",1
Добавить арабский язык ,1
I don&#039;t know,0
"Открываешь в телефоне приложение, оно пишет отсканируйте штрих-код телефоном и зарегистрируйтесь.",2
"В целом все круто. Жду поддержки соотношений сторон, отличных от 16:9",3
"Приложение работает отвратно. Вроде выходят обновления, что-то правят, убирают баги и т.д. Но!!!! Основная проблема остаётся неизменной. Вы хотите, что хостинг был популярен, так сделайте нормальный плеер, который не будет лагать. 
Теперь суть проблемы - плеер и/или интерфейс - при повороте телефона, чтобы посмотреть видео на весь экран видео просто стопориться или пропадает звук или чёрный экран с просто звуком. Вернуть можно только в том случае, если свернуть видео для просмотра поисковой выдачи. Комментарий написать та ещё эпопея.Эта проблема уже очень давно, тот кто занимается приложением, Вы вообще его тестируете на устройствах на которые предлагаете установить? 
Так же проблема, что при сворачивании приложения на телефоне и последующего возврата к нему оно просто зависает и перезагружается, это не такая критичная проблема, но она есть.
Давно есть ютуб, сделайте примерно такой же фунционал, чтобы людям было удобно. Да, я понимаю, что не все сразу, но вот таких багов которые (я надеюсь) описал внятно выше,быть не должно!!! 
Спасибо за внимание!",1
Жизненные проблемы помогают решать,0
"Из телека постоянно вылетает авторизация, и если посмотрел на телеке, то в истории на телефоне этого нет , хотя сижу под одним аккаунтом. Неудобная долгая перемотка. Поиск на телеке работает от слова никак, на телефоне тот же запрос выдает норм результаты. И кто додумался запихать Историю просмотров так глубоко в меню. Вы сами пользовались своим приложением? Единственный плюс - можно отключить экран на телефоне и слушать видео",1
"Как здорово что вы напихали ещё больше рекламы, прям с ещё большим удовольствием захотелось удалить ваше приложение. Кстати реклама тоже зависает как и все видосы?",1
"мало материала
",1
Простота ,3
"Скорость
",0
зависает,1
😍,3
телефоны не нужно,2
"Скорость, уважение.
",2
Hii,0
"Очень понравилась данная площадка, а то что здесь подключен ТНТ вообще делает его оригинальным. Очень удобный интерфейс, не виснет, не глючит. Мне нравиться 👍",3
За фоновый просмотр видео респект! Разрабы молодцы.,3
Маленький экран,1
Вам зачем местоположение?,2
Показы поднять!!!,1
Achtung . vive la Russie et les citoyens qui defend les hommes est les femmes qui sont gentil avec tout le monde . peace ,0
Приложение отличное! Перешла с ютуб на Рутуб.. Разница ощутимая!,3
здравствуйте я использую девайс реалме 5g и когда захожу в рутуб и сразу вылетает пожалуйста исправьте ошибку!!,1
